# network, iso_country code, iso_region_code, city_name, postal_code
2a0c:9a49:8cb0::/48,AU,AU-VIC,Melbourne,
2a0c:9a49:8cb1::/48,AU,AU-VIC,Melbourne,
2a0c:9a49:8cb2::/48,,,,
2a0c:9a49:8cb3::/48,,,,
2a0c:9a49:8cb4::/48,,,,
2a0c:9a49:8cb5::/48,,,,
2a0c:9a49:8cb6::/48,,,,
2a0c:9a49:8cb7::/48,,,,
2a0c:9a49:8cb8::/48,,,,
2a0c:9a49:8cb9::/48,,,,
2a0c:9a49:8cba::/48,,,,
2a0c:9a49:8cbb::/48,,,,
2a0c:9a49:8cbc::/48,US,US-KS,Kansas,
2a0c:9a49:8cbd::/48,,,,
2a0c:9a49:8cbe::/48,CH,CH-ZH,Zurich,
2a0c:9a49:8cbf::/48,,,,
